ruso; pagina; espanol
исторический; 12;histórico
история; 11;historia
исчезать; 28;desaparecer
и так далее; 26;y así sucesivamente| etc
июнь; 18;junio
июль; 18;julio
каждый; 16;cada
кажется (мне); 16;me parece
как; 4;como
какой; 5;cómo| qué| cuál| quién
капуста; 11;repollo
карандаш; 3;lápiz
карий; 27;castaño
карта; 1;mapa
картина; 11;cuadro
картофель; 11;patata
кассета; 9;cassete
кататься; 24;patinar
каша; 11;papilla
кашель; 14;tos
кафе; 2;cafe
квартира; 8;apartamento
кино; 12;cine
книга; 3;libro
колбаса; 11;mortadela|embutido
комедия; 11;comedia
комната; 1;habitación
комплимент; 27;cumplido
конец; 21;final
конечно; 5;cierto
контрольная работа; 9;Inspección de Trabajo
конфета; 15;caramelo| bombón
концерт; 11;concierto
кончать(ся); 16;terminar (se)
коробка; 15;caja
короткий; 8;corto
костюм; 15;traje
кот; 2;gato
который; 23;que| quien| cual
кошка; 26;gata
красивый; 7;bello| bonito
кресло; 4;sillón
кровать; 24;cama
кроме; 28;excepto
кстати; 13;a propósito
кто; 1;quien
культурный; 27;cultural
купить; 9;comprar
курить; 6;fumar
куртка; 24;chaqueta| cazadora
кухня; 12;cocina
лампа; 4;lámpara
легко; 7;fácil
лежать; 12;estar acostado
лекарство; 14;medicamentos
лекция; 11;conferencia
ленивый; 27;perezoso
лес; 12;bosque
литература; 4;literatura
лето; 18;verano
лицо; 27;cara
ложиться; 16;acostarse
ложка; 24;cuchara
лук; 11;cebolla
лучше; 15;mejor
любить; 11;amar| querer
любовь; 28;amor
любопытный; 27;curioso
любопытство; 28;curiosidad
люди; 4;gente| personas
магазин; 1;tienda
магнитофон; 4;magnetófono
май; 18;mayo
макароны; 11;macarrones
маленький; 8;pequeño
мало; 7;poco
мальчик; 3;chico
марка; 15;sello
март; 18;marzo
масло; 11;mantequilla
матрёшка; 5;matrioshka
машина; 4;coche
медведь; 24;oso
медленно; 7;lentamente
медсестра; 3;enfermera
между; 23;entre
место; 2;lugar| sitio
месяц; 13;mes
метро; 1;metro
мечтательно; 22;en sueños
мечтать; 19;soñar
мешать; 28;mezclar| molestar
милиция; 15;policia
младший; 17;menor
много; 7;mucho
можно; 7;es posible
мой; 2;mio| mi
молодёжный; 23;juvenil
молодёжь; 23;juventud
молодой; 18;joven (adjet.)
молоко; 9;leche
молчаливый; 27;callado
молчать; 28;callar
море; 3;mar
морковь; 11;zanahoria
мороженое; 11;helado
моряк; 3;marinero
мост; 19;puente
мотоцикл; 19;motocicleta
мочь; 9;poder
муж; 11;marido
мужчина; 18;hombre
музей; 4;museo
музыка; 11;música
музыкант; 3;músico
мы; 3;nosotros
мясо; 11;carne
на; 12;en| sobre
наверное; 19;seguramente| probablemente
над; 28;sobre| encima de
надо; 24;tengo que| hace falta
найти; 16;encontrar
наконец; 16;por fin
направо; 21;a la derecha
напротив; 19;de frente
народный; 15;popular| nacional
насморк; 14;resfriado
находиться; 12;encontrarse
национальность; 5;nacionalidad
начинать; 14;comenzar
начинаться; 16;comenzarse
наш; 5;nuestro
неделя; 9;semana
не за что; 5;no hay de que| de nada
нельзя; 7;no se puede| no es posible
немец/немка; 5;alemán/a (sust.)
немецкий; 5;alemán (adjet.)
ненавидеть; 28;odiar
ненависть; 28;odio
несколько; 25;algo| un poco
нет; 1;no
неудобно; 24;incómodo
неужели; 25;es que| acaso
никогда; 15;nunca| jamás
никуда; 19;ninguna parte
ничего; 4;no es nada| no importa
но; 5;pero| más
новый; 8;nuevo
нога; 14;pierna
нож; 4;cuchillo
нормально; 4;normal
нос; 14;nariz
нота 1; ;nota musical
ночь; 11;noche
ноябрь; 18;noviembre
нравиться; 15;gustar
нужно; 18;hay que| es necesario
обед; 11;comida
обедать; 16;comer
обменять; 9;cambiar
обратно; 19;de vuelta atrás
общежитие; 12;residencia
общий ; 18;común| general
обычно; 11;generalmente
обязательно; 14;sin falta
овощ; 11;legumbre
огурец; 11;pepino
одеваться; 28;vestirse
один; 1;uno
одиннадцатый; 11;undécimo
одиннадцать; 11;once
однажды; 16;una vez
окно; 1;ventana
около; 28;cerca de
октябрь; 18;octubre
омлет; 11;tortilla
он; 1;él
она; 1;ella
они; 1;ellos/as
оно; 1;ello
опера; 11;ópera
опоздать; 14;tardar| retrasarse
организованный; 27;ordenado| organizado
осень; 18;otoño
особенно; 19;sobre todo| especialmente
оставлять; 28;dejar| abandonar
останавливать; 19;parar
остановка; 19;parada
осторожно; 23;con cuidado| ¡ojo!
остроумный; 27;ingenioso| gracioso
отвечать; 7;responder| contestar
отдыхать; 6;descansar
отец; 3;padre
открывать; 24;inaugurar| abrir
отлично; 15;perfectamente
отпуск; 19;vacaciones| permiso
отчество; 25;patronímico
очень; 8;muy| mucho
очки; 8;gafas
ошибка; 26;error| equivocación
палец; 14;dedo
пальто; 8;abrigo
парк; 8;parque
паштет; 11;pasta| foei gras
пельмени; 11;tortellini| ravioli
пенсия; 12;pensión
перевод; 11;traslado| traducción
переводит; 18;trasladar| traducir 
первый; 1;primero
передать; 13;pasar| dar| entregar
перед; 28;delante de| ante
перец; 11;pimiento| pimienta
персик; 15;melocotón
песня; 11;canción
печенье; 15;galletas
пешком; 19;a pie| andando
пиво; 1;cerveza
пирожок; 23;empanadilla
писатель; 18;escritor
писать; 6;escribir
письмо; 4;carta
пить; 9;beber
пищать; 24;piar
плавать; 21;nadar| navegar
плакать; 23;llorar
платить; 16;pagar
племянник; 23;vestido
плохо; 4;mal
площадь; 11;plaza
пляж; 24;playa
повар; 3;cocinero
под; 27;debajo de| bajo
подарок; 18;regalo
подлец; 25;sobrino
платье; 8;infame| vil| canalla
поднимать; 19;levantar| izar
подруга; 1;amiga
подчёркивать; 26;subrayar
поезд; 19;tren
поездка; 20;viaje
поехать; 20;ir| partir
пожалуйста; 5;por favor
поздно; 21;(es) tarde
поздравление; 22;felicitación
поздравлять; 23;felicitar
познакомиться; 1;conocer
пойти; 20;ir
пока; 2;por ahora| mientras|adiós
показывать; 14;enseñar| mostrar
покупать; 9;comprar
пол; 12;suelo| piso
полезно; 26;provechosamente| util
политик; 8;político(sust.)
полный; 27;lleno| gordo
польский; 5;polaco (adjet.)
поляк/полька; 5;polaco/a (sust.)
помидор; 11;tomate
помогать; 18;ayudar
по-моему; 24;a mi juicio| a mi ver
понедельник; 9;lunes
понимать; 7;comprender
портфель; 4;cartera
после; 14;después| luego
последний; 18;último| posterior
потом; 7;despúes| luego
по-русски; 5;en ruso
потому что; 9;porque| como
почему; 9;por qué?
почта; 12;correo
почти; 19;casi
поэтому; 26;por esto
правило; 11;regla| reglamento
правильно; 5;correcto
праздник; 20;fiesta
предлагать; 23;proponer
представлять себе; 28;imaginar
преподаватель; 3;profesor (universidad)
прекрасно; 4;excelente
привет; 2;hola
приглашать; 18;invitar
принимать; 18;tomar| recibir
приехать; 21;llegar (en transporte)
прийти; 21;llegar| venir
природа; 20;naturaleza
присылать; 22;enviar
провожать; 23;acompañar| despedir
продавец; 15;vendedor
продукты; 9;productos| víveres
проза; 28;prosa
просить; 13;pedir| rogar
проспект; 8;avenida
простите; 6;perdone| -en
просыпаться; 19;despertarse
профессия; 3;profesión
прямо; 21;derecho
пряник; 23;melindre
путаться; 24;confundirse
пятница; 9;viernes
пятьдесят; 15;cincuenta
пятый; 5;quinto
пять; 5;cinco
пятьсот; 15;quinientos
работа; 9;trabajo
работать; 6;trabajar
рад (-аб –ы); 16;contento
радио; 7;radio
радьост; 23;alegria
раз; 11;vez
разве; 14;acaso es que
разговаривать; 20;hablar
разговарчивый; 27;locuaz
разный; 12;distinto
разрешать; 20;resolver
ракетка; 18;raqueta
рано; 20;temprano
рассказ; 11;cuento
рассказывать; 12;contar| relatar
рассольник; 11;sopa de pepinos
ребёнок; 4;niño| bebé
редакция; 23;redacción
редко; 16;raramente
река; 3;río
решить; 15;decidir| resolver
рисовать; 19;dibujar
родители; 12;padres
родной; 5;natal
родственник; 25;pariente
рождество; 23;Navidad
роза; 4;rosa
романтичный; 27;romántico
российский; 8;de Rusia
рост; 27;altura
рот; 14;boca
рубашка; 28;camisa
рубль; 15;rublo
рука; 14;mano
русский; 5;ruso
ручка; 4;bolígrafo
рыба; 4;pescado
рынок; 12;mercado
рычать; 24;rugir
рюкзак; 2;mochila
рядом; 25;al lado
сад; 1;jardín
салат; 11;ensalada
сам (-а –и); 23;mismo
